,SMILES
ZINC000000004778,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
ZINC000000000746,CC(C)(C)NC[C@H](O)c1cc(O)cc(O)c1
ZINC000000136138,COc1ccc(C(=O)c2ccccc2)c(O)c1
ZINC000001530752,CCN(CC)CC#CCOC(=O)[C@](O)(c1ccccc1)C1CCCCC1
ZINC000002005550,C=CCC1([C@@H](C)CCC)C(=O)NC(=O)NC1=O
ZINC000003938704,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1
ZINC000247651495,O=[Si](O)O[Si](O)(O)O[Si](=O)O
ZINC000028232755,CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@@H](O)[C@@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O
ZINC000029416466,CC(C)(C)NC(=O)[C@@H]1C[C@H]2CCCC[C@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1
ZINC000003778874,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1
ZINC000003812944,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
ZINC000000538509,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC
ZINC000001482049,N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1
ZINC000242437513,CN[C@H](C)[C@@H]1CC[C@H](N)[C@H](O[C@@H]2[C@H](N)C[C@H](N)[C@H](O[C@@H]3OC[C@](C)(O)[C@H](NC)[C@@H]3O)[C@@H]2O)O1
ZINC000003784120,CC#CC[C@@H](C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O
ZINC000003830958,COCC(=O)Nc1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)N(C)C[C@@H](O)CO)c1I
ZINC000004213474,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1
ZINC000247316127,O[Si](O)(O)O[Si](O)(O)O
ZINC000008214662,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
ZINC000016159083,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1
ZINC000022851765,CCOc1ccc(C[C@H](CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O)cc1
ZINC000028232750,CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@@H]2C[C@H](NC(=O)C(F)(F)F)[C@@H](O)[C@@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O
ZINC000028639340,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O
ZINC000003794601,CN(C)CCC[C@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
ZINC000003813003,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
ZINC000004258316,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12
ZINC000145808877,CNc1ccc(/C=C\c2ccc(OCCOCCOCCF)nc2)cc1
ZINC000001543873,O=C(CCCCCCC(=O)Nc1ccccc1)NO
ZINC000001846431,O=C[C@H](F)[C@@H](O)[C@H](O)[C@H](O)CO
ZINC000003818726,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO
ZINC000003843378,COC(=O)/C=C/C(=O)OC
ZINC000004214603,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl
ZINC000005844788,O[C@@H](CNC[C@@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1
ZINC000253498282,C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@@H]3CC[C@@]21CC
ZINC000014164617,CC[C@@H]1[C@@H]2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@H]3[C@H](C)CCC(=O)O)[C@@H]2[C@@H]1O
ZINC000204073689,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C\c1ccc(-c2cccc(F)c2)cn1
ZINC000100008319,C[N+]1(C)[C@H]2C[C@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@@H]1[C@H]1O[C@@H]21
ZINC000100061056,CN1C=CC=C/C1=C/N=O
ZINC000100052685,CC#CC[C@H](C)[C@@H](O)/C=C/[C@@H]1[C@@H](O)C[C@@H]2C/C(=C/CCCC(=O)OCC(=O)c3ccccc3)C[C@H]21
ZINC000100052691,CC#CC[C@H](C)[C@H](O)/C=C/[C@@H]1[C@@H](O)C[C@@H]2C/C(=C/CCCC(=O)OCC(=O)c3ccccc3)C[C@H]21
ZINC000003800008,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
ZINC000003830347,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
ZINC000003921872,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)/C=C/[C@@H](O)C2CC2)C[C@@H](O)C[C@@H]1O
ZINC000012404516,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1
ZINC000004099032,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
ZINC000000002101,Nc1ccc(S(N)(=O)=O)cc1
ZINC000001530751,CCN(CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1
ZINC000001530981,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12
ZINC000001530862,COc1cc(N[C@@H](C)CCCN)c2ncccc2c1
ZINC000003824921,CC(C)(C(=O)O)c1ccc([C@@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
ZINC000053229445,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1
ZINC000000002041,CCCN(CCC)CCc1cccc2c1CC(=O)N2
ZINC000068153186,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1
ZINC000068202099,Cc1c(C(=O)Nc2ccc(N3C[C@H](C)O[C@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1
ZINC000068204830,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C
ZINC000100052681,CC#CC[C@@H](C)[C@@H](O)/C=C/[C@@H]1[C@@H](O)C[C@@H]2C/C(=C/CCCC(=O)OCC(=O)c3ccccc3)C[C@H]21
ZINC000003872566,CC(C)(C(=O)O)c1ccc([C@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
ZINC000003872994,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
ZINC000000000061,NC[C@H](CC(=O)O)c1ccc(Cl)cc1
ZINC000000085733,NC[C@@H](CC(=O)O)c1ccc(Cl)cc1
ZINC000001536109,C#CC[C@@H](Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
ZINC000001546066,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
ZINC000001530863,COc1cc(N[C@H](C)CCCN)c2ncccc2c1
ZINC000019632633,C#CCN(C)[C@H](C)Cc1ccccc1
ZINC000100052688,CC#CC[C@@H](C)[C@H](O)/C=C/[C@@H]1[C@@H](O)C[C@@H]2C/C(=C/CCCC(=O)OCC(=O)c3ccccc3)C[C@H]21
ZINC000003802690,C=C1[C@@H](n2cnc3c(=O)[nH]c(N)nc32)C[C@H](O)[C@H]1CO
ZINC000003798750,C=C[C@@H](N)CCC(=O)O
ZINC000003874950,C=CCC1([C@H](C)CCC)C(=O)NC(=O)NC1=O
ZINC000000895042,N[C@@H](CS)C(=O)O
ZINC000000895048,OCC(O)CO
ZINC000000895316,C[C@H](O)CO
ZINC000000901791,O=C(O)[C@@H]1C[C@@H](O)CN1
ZINC000001531008,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
ZINC000001532522,NCCCC[C@H](N)C(=O)O
ZINC000002539702,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
ZINC000003809490,NCCS(=O)(=O)O
ZINC000003830891,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
ZINC000004474414,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O
ZINC000008214573,O=S(O)(O)=S
ZINC000018279893,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
ZINC000033943508,CC1=C(/C=C/C(C)=C\C=C\C(C)=C/C(=O)O)C(C)(C)CCC1
ZINC000100017404,COC(=O)/C=C\C(=O)OC
ZINC000000001011,O=C(O)c1ccccc1
ZINC000000001411,C=CCc1ccc(O)c(OC)c1
ZINC000000895318,C[C@@H](O)CO
ZINC000001530575,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
ZINC000002016052,ClC[C@H]1CO1
ZINC000003780893,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
ZINC000003875332,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
ZINC000004095858,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
ZINC000008577218,Nc1nc(O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1
ZINC000000643143,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
ZINC000100015048,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O
ZINC000004474460,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C
ZINC000004629876,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C
ZINC000004228257,C[C@H](O)[C@@H](O)[C@@H]1CNc2nc(N)[nH]c(=O)c2N1
ZINC000003800706,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
ZINC000001530303,CC(C)(CO)[C@@H](O)C(=O)NCCCO
ZINC000001532517,CC(=O)C(=O)O
ZINC000001532805,O=C(O)CCCO
ZINC000003807917,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O
ZINC000003812851,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
ZINC000003914810,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C
ZINC000004658557,O=C(O)CO
ZINC000009212428,Nc1nc2c(c(=O)[nH]1)N(C=O)[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
ZINC000013585233,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1
